MSTATE,zip_clean,parcel_count,avg_parcel_value,median_parcel_value,total_parcel_value,min_parcel_value,max_parcel_value
NC,27831,1,263430,263430,263430,263430,263430
NC,27833,1,414329,414329,414329,414329,414329
NC,27843,1,392824,392824,392824,392824,392824
NC,27871,1,347327,347327,347327,347327,347327
NC,27885,1,307939,307939,307939,307939,307939
NC,27915,1,620281,620281,620281,620281,620281
NC,27966,1,306338,306338,306338,306338,306338
NC,28111,1,1371388,1371388,1371388,1371388,1371388
NC,28124,1,327222,327222,327222,327222,327222
NC,28174,1,307211,307211,307211,307211,307211
NC,28219,1,1414081,1414081,1414081,1414081,1414081
NC,28299,1,465657,465657,465657,465657,465657
NC,28349,1,321280,321280,321280,321280,321280
NC,28351,1,302266,302266,302266,302266,302266
NC,28408,1,2300495,2300495,2300495,2300495,2300495
NC,28463,1,264857,264857,264857,264857,264857
NC,28502,1,358554,358554,358554,358554,358554
NC,28518,1,262177,262177,262177,262177,262177
NC,28520,1,382472,382472,382472,382472,382472
NC,28526,1,310392,310392,310392,310392,310392
NC,28530,1,495251,495251,495251,495251,495251
NC,28531,1,375892,375892,375892,375892,375892
NC,28561,1,8454086,8454086,8454086,8454086,8454086
NC,28609,1,463494,463494,463494,463494,463494
NC,28701,1,389642,389642,389642,389642,389642
