MCITY,MSTATE,MZIP,data_quality_issue
BEL AIR,MD,21014-5461,Bad State
HANOVER,MD,21076-2047,Bad State
SEVERN,MD,21144-6812,Bad State
STEVENSVILLE,MD,21666-2614,Bad State
WOODBINE,MD,21797-8309,Bad State
BURKE,VA,22015-2042,Bad State
ARLINGTON,VA,22201-4502,Bad State
ALEXANDRIA,VA,22314-1054,Bad State
ALEXANDRIA,VA,22314-2413,Bad State
PALMYRA,VA,22963-1001,Bad State
GLEN ALLEN,VA,23059-7121,Bad State
ROCKVILLE,VA,23146-1526,Bad State
WILLIAMSBURG,VA,23188-7457,Bad State
NORTH CHESTERFIELD,VA,23234-4797,Bad State
VIRGINIA BEACH,VA,23453-5510,Bad State
VIRGINIA BEACH,VA,23455-5555,Bad State
NORFOLK,VA,23503-2313,Bad State
PARKERSBURG,WV,26101-6140,Bad State
LEXINGTON,SC,29073-7157,Bad State
MT PLEASANT,SC,29464-5140,Bad State
DILLON,SC,29536-2120,Bad State
LITTLE RIVER,SC,29566-7582,Bad State
PAWLEYS ISLAND,SC,29585-6006,Bad State
ANDERSON,SC,29625-6240,Bad State
GREER,SC,29651-7660,Bad State
INDIAN LAND,SC,29707-5898,Bad State
INDIAN LAND,SC,29707-9629,Bad State
ROCK HILL,SC,29732-8272,Bad State
SUWANEE,GA,30024-8622,Bad State
MARIETTA,GA,30064-4714,Bad State
STONE MOUNTAIN,GA,30088-1828,Bad State
BROOKS,GA,30205-2401,Bad State
BROOKHAVEN,GA,30319-4816,Bad State
ATLANTA,GA,30326-1118,Bad State
ATLANTA,GA,30326-1927,Bad State
ATLANTA,GA,30339-8146,Bad State
BUFORD,GA,30519-7676,Bad State
GREENSBORO,GA,30642-4898,Bad State
SAVANNAH,GA,31411-1722,Bad State
PONTE VEDRA BEACH,FL,32082-3013,Bad State
JACKSONVILLE,FL,32216-4346,Bad State
ORLANDO,FL,32829-8235,Bad State
PEMBROKE PINES,FL,33028-2601,Bad State
KEY WEST,FL,33040-3763,Bad State
PALMETTO BAY,FL,33157-5699,Bad State
SUNNY ISLES BEACH,FL,33160-3410,Bad State
MIAMI,FL,33196-3056,Bad State
FT LAUDERDALE,FL,33304-3525,Bad State
SUNRISE,FL,33322-1028,Bad State
BOCA RATON,FL,33481-0850,Bad State
RIVERVIEW,FL,33578-8411,Bad State
TAMPA,FL,33604-6146,Bad State
TAMPA,FL,33625-3712,Bad State
TAMPA,FL,33626-3330,Bad State
SAINT PETERSBURG,FL,33703-4846,Bad State
SAINT PETERSBURG,FL,33710-3427,Bad State
ST PETERSBURG,FL,33742-3559,Bad State
NAPLES,FL,34119-9776,Bad State
BRADENTON,FL,34203-4029,Bad State
FRANKLIN,TN,37067-8556,Bad State
NASHVILLE,TN,37219-1238,Bad State
KNOXVILLE,TN,37919-4905,Bad State
FARRAGUT,TN,37934-5319,Bad State
LEXINGTON,KY,40513-1478,Bad State
MOUNT VERNON,OH,43050-8219,Bad State
ZANESVILLE,OH,43701-6982,Bad State
SOLON,OH,44139-4056,Bad State
CINCINNATI,OH,45202-6042,Bad State
CINCINNATI,OH,45249-1229,Bad State
MIAMISBURG,OH,45342-4956,Bad State
ARGOS,IN,46501-9330,Bad State
TROY,MI,48098-4390,Bad State
ANN ARBOR,MI,48103-9377,Bad State
BLOOMFIELD HILLS,MI,48301-4014,Bad State
WEST BLOOMFIELD,MI,48322-3615,Bad State
SHELL ROCK,IA,50670-1053,Bad State
BROOKFIELD,WI,53005-1337,Bad State
WAUNAKEE,WI,53597-9748,Bad State
SHAKOPEE,MN,55379-5906,Bad State
SIOUX FALLS,SD,57103-7088,Bad State
WHITEFISH,MT,59937-2312,Bad State
PALATINE,IL,60074-2988,Bad State
BLOOMINGDALE,IL,60108-8815,Bad State
OAK PARK,IL,60302-1015,Bad State
BOLINGBROOK,IL,60440-6164,Bad State
CHICAGO,IL,60606-2866,Bad State
INDEPENDENCE,KS,67301-8663,Bad State
NEW ORLEANS,LA,70131-3330,Bad State
BATON ROUGE,LA,70802-8540,Bad State
BENTONVILLE,AR,72713-3245,Bad State
ALLEN,TX,75013-5318,Bad State
FRISCO,TX,75035-1286,Bad State
MCKINNEY,TX,75069-2555,Bad State
DALLAS,TX,75201-2633,Bad State
DALLAS,TX,75201-2966,Bad State
DALLAS,TX,75265-0043,Bad State
BELTON,TX,76513-7679,Bad State
RICHMOND,TX,77407-1789,Bad State
LEAGUE CITY,TX,77573-4796,Bad State
GEORGETOWN,TX,78628-1126,Bad State
PFLUGERVILLE,TX,78660-5975,Bad State
AUSTIN,TX,78704-8707,Bad State
AUSTIN,TX,78714-0160,Bad State
AUSTIN,TX,78739-4338,Bad State
AUSTIN,TX,78748-3087,Bad State
SUPERIOR,CO,80027-8260,Bad State
DENVER,CO,80237-3190,Bad State
FORT COLLINS,CO,80528-9103,Bad State
COLORADO SPGS,CO,80962-3225,Bad State
CHANDLER,AZ,85249-2891,Bad State
SCOTTSDALE,AZ,85255-0461,Bad State
TUCSON,AZ,85718-3414,Bad State
HENDERSON,NV,89012-4472,Bad State
GENOA,NV,89411-1385,Bad State
RENO,NV,89521-8026,Bad State
LOS ANGELES,CA,90024-3708,Bad State
LOS ANGELES,CA,90025-1849,Bad State
HERMOSA BEACH,CA,90254-4803,Bad State
MANHATTAN BEACH,CA,90266-3052,Bad State
SANTA MONICA,CA,90401-1496,Bad State
SIERRA MADRE,CA,91024-2456,Bad State
PASADENA,CA,91104-2636,Bad State
PASADENA,CA,91106-1475,Bad State
WOODLAND HILLS,CA,91364-4661,Bad State
OAK PARK,CA,91377-5844,Bad State
VALENCIA,CA,91381-0761,Bad State
CASTAIC,CA,91384-4224,Bad State
TOLUCA LAKE,CA,91602-3902,Bad State
UPLAND,CA,91786-2129,Bad State
ESCONDIDO,CA,92025-5930,Bad State
SAN DIEGO,CA,92130-7613,Bad State
RANCHO MIRAGE,CA,92270-2588,Bad State
WILDOMAR,CA,92595-7761,Bad State
IRVINE,CA,92602-2343,Bad State
COSTA MESA,CA,92626-7175,Bad State
LAGUNA HILLS,CA,92653-4934,Bad State
YORBA LINDA,CA,92886-4585,Bad State
LANCASTER,CA,93536-5988,Bad State
MOUNTAIN VIEW,CA,94040-2757,Bad State
REDWOOD CITY,CA,94065-1765,Bad State
SAN FRANCISCO,CA,94114-1612,Bad State
PALO ALTO,CA,94304-1326,Bad State
SAN MATERO,CA,94401,Bad State
FOSTER CITY,CA,94404-2912,Bad State
DANVILLE,CA,94526-4834,Bad State
FAIRVIEW,CA,94541-6923,Bad State
LAFAYETTE,CA,94549-5325,Bad State
LAFAYETTE,CA,94549-5423,Bad State
NEWARK,CA,94560-1303,Bad State
PITTSBURG,CA,94565-3281,Bad State
SAN RAMON,CA,94582-2896,Bad State
SAN RAMON,CA,94582-3001,Bad State
SAN RAMON,CA,94582-5878,Bad State
SAN RAMON,CA,94583-6006,Bad State
UNION CITY,CA,94587-5170,Bad State
WALNUT CREEK,CA,94598-3926,Bad State
SAN RAFAEL,CA,94903-1707,Bad State
CUPERTINO,CA,95014-5119,Bad State
LOS GATOS,CA,95030-6850,Bad State
SANTA CLARA,CA,95050-7016,Bad State
SARATOGA,CA,95070-4129,Bad State
SARATOGA,CA,95070-4449,Bad State
SAN JOSE,CA,95111-2161,Bad State
SAN JOSE,CA,95119-1511,Bad State
SAN JOSE,CA,95120-3130,Bad State
SAN JOSE,CA,95120-4750,Bad State
SAN JOSE,CA,95123-3666,Bad State
SAN JOSE,CA,95129-3712,Bad State
SAN JOSE,CA,95129-4322,Bad State
SAN JOSE,CA,95130-1324,Bad State
SAN JOSE,CA,95135-2376,Bad State
SAN JOSE,CA,95148-4315,Bad State
SHINGLE SPRINGS,CA,95682-9553,Bad State
MILILANI,HI,96789-1936,Bad State
PORTLAND,OR,97203-5309,Bad State
PORTLAND,OR,97219-5289,Bad State
BELLEVUE,WA,98006-4238,Bad State
BOTHELL,WA,98011-3023,Bad State
KIRKLAND,WA,98033-8576,Bad State
MAPLE VALLEY,WA,98038-3281,Bad State
REDMOND,WA,98052-4621,Bad State
REDMOND,WA,98052-9424,Bad State
SAMMAMISH,WA,98074-6357,Bad State
BLAINE,WA,98231-0394,Bad State
MUKILTEO,WA,98275-4892,Bad State
TACOMA,WA,98465-1033,Bad State
SEWARD,AK,99664-0541,Bad State
NEWPORT BEACH,CA,92660-7928,Bad State
BURLINGAME,CA,94011-7321,Bad State
CUPERTINO,CA,95014-4553,Bad State
SAN MARTIN,CA,95046-9677,Bad State
SANTA CLARA,CA,95051-5353,Bad State
HONOLULU,HI,96744,Bad State
WESTBOROUGH,MA,01581-3655,Bad State
N BILLERICA,MA,01862-1408,Bad State
TRUMBULL,CT,06611-5014,Bad State
JERSEY CITY,NJ,07302-5557,Bad State
EAST BRUNSWICK,NJ,08816-5500,Bad State
SAYREVILLE,NJ,08872-2148,Bad State
SCARSDALE,NY,10583-1077,Bad State
ELMHURST,NY,11373-4253,Bad State
PLAINVIEW,NY,11803-5241,Bad State
PITTSFORD,NY,14534-1888,Bad State
WAYNE,PA,19087-1537,Bad State
COLLEGEVILLE,PA,19426-3361,Bad State
COLLEGEVILLE,PA,19426-3969,Bad State
ASHBURN,VA,20148-1792,Bad State
STERLING,VA,20166-2239,Bad State
MC LEAN,VA,22102-3992,Bad State
YORKTOWN,VA,23693-2451,Bad State
ROCK HILL,SC,29730-0182,Bad State
ALPHARETTA,GA,30005-6449,Bad State
SHARPSBURG,GA,30277-2110,Bad State
STUART,FL,34996,Bad State
RICHMOND,IN,47374-5840,Bad State
TEMECULA,CA,92592-8339,Bad State
SAN FRANCISCO,CA,94121-2654,Bad State
DANVILLE,CA,94506-6019,Bad State
LOS GATOS,CA,95032-1619,Bad State
SANTA CLARA,CA,95054-2218,Bad State
SAN JOSE,CA,95132-1027,Bad State
ROSEVILLE,CA,95661-5144,Bad State
SAN JUAN,PR,00907-1486,Bad State
FITCHBURG,MA,01420-3099,Bad State
NORTHBOROUGH,MA,01532-2282,Bad State
SHREWSBURY,MA,01545-4829,Bad State
FRAMINGHAM,MA,01701-4538,Bad State
ACTON,MA,01718-1005,Bad State
MILFORD,MA,01757-2831,Bad State
SOUTHBOROUGH,MA,01772-2157,Bad State
WOBURN,MA,01801-1317,Bad State
GEORGETOWN,MA,01833-1917,Bad State
SALISBURY,MA,01952-2034,Bad State
SALISBURY,MA,01952-2296,Bad State
MANSFIELD,MA,02048-3294,Bad State
MARSHFIELD,MA,02050-6742,Bad State
BOSTON,MA,02116-2313,Bad State
BOSTON,MA,02128-5095,Bad State
JAMAICA PLAIN,MA,02130-4336,Bad State
BOSTON,MA,02130-5265,Bad State
WEST ROXBURY,MA,02132-1307,Bad State
CAMBRIDGE,MA,02139-0046,Bad State
CAMBRIDGE,MA,02140-2567,Bad State
CHELSEA,MA,02150-1688,Bad State
CHELSEA,MA,02150-4041,Bad State
STONEHAM,MA,02180-1249,Bad State
LEXINGTON,MA,02420-3930,Bad State
BROOKLINE,MA,02445-6852,Bad State
WATERTOWN,MA,02472-1155,Bad State
WESTON,MA,02493-2406,Bad State
DENNIS PORT,MA,02639-0565,Bad State
ORLEANS,MA,02653-4001,Bad State
BERKLEY,MA,02779-2332,Bad State
PORTSMOUTH,RI,02871-2238,Bad State
WARWICK,RI,02889-8610,Bad State
AUBURN,NH,03032-3310,Bad State
NASHUA,NH,03062-2905,Bad State
SALEM,NH,03079-2631,Bad State
CAMPTON,NH,03223-4686,Bad State
KENSINGTON,NH,03833-6807,Bad State
SACO,ME,04072-5122,Bad State
HARPSWELL,ME,04079-4314,Bad State
PORTLAND,ME,04103-1213,Bad State
BELGRADE,ME,04917-3253,Bad State
WILLISTON,VT,05495-0951,Bad State
AVON,CT,06001-2879,Bad State
GLASTONBURY,CT,06033-1300,Bad State
SOMERS,CT,06071-0222,Bad State
SOUTH GLASTONBURY,CT,06073-2911,Bad State
SOUTH WINDSOR,CT,06074-1470,Bad State
UNIONVILLE,CT,06085-1178,Bad State
WINDSOR LOCKS,CT,06096-1265,Bad State
WINSTED,CT,06098-1951,Bad State
NEWINGTON,CT,06111-3803,Bad State
ORANGE,CT,06477-2422,Bad State
TRUMBULL,CT,06611-3744,Bad State
EASTON,CT,06612-1538,Bad State
BROOKFIELD,CT,06804-3218,Bad State
FAIRFIELD,CT,06824-2155,Bad State
RIDGEFIELD,CT,06877-0513,Bad State
BLOOMFIELD,NJ,07003-4301,Bad State
BOONTON,NJ,07005-2333,Bad State
CLIFTON,NJ,07013-2941,Bad State
CRANFORD,NJ,07016-3312,Bad State
LIVINGSTON,NJ,07039-2208,Bad State
LIVINGSTON,NJ,07039-2821,Bad State
MONTVILLE,NJ,07045-9603,Bad State
PARSIPPANY,NJ,07054-3434,Bad State
SOUTH PLAINFIELD,NJ,07080-2360,Bad State
JERSEY CITY,NJ,07302-3478,Bad State
JERSEY CITY,NJ,07302-4634,Bad State
JERSEY CITY,NJ,07302-7015,Bad State
ELMWOOD PARK,NJ,07407-2502,Bad State
HO HO KUS,NJ,07423-1122,Bad State
GLEN ROCK,NJ,07452-1311,Bad State
UPPER SADDLE RIVER,NJ,07458-1730,Bad State
HACKENSACK,NJ,07601-1061,Bad State
HACKENSACK,NJ,07601-6210,Bad State
MAYWOOD,NJ,07607-1843,Bad State
CLOSTER,NJ,07624-3117,Bad State
ROCKLEIGH,NJ,07647-2716,Bad State
PALISADES PARK,NJ,07650,Bad State
PALISADES PARK,NJ,07650-4063,Bad State
TENAFLY,NJ,07670-1506,Bad State
MANALAPAN,NJ,07726-4121,Bad State
FARMINGDALE,NJ,07727-3997,Bad State
SPRING LAKE,NJ,07762-1427,Bad State
WEST LONG BRANCH,NJ,07764-1076,Bad State
SUMMIT,NJ,07901-3020,Bad State
BASKING RIDGE,NJ,07920-3708,Bad State
FLORHAM PARK,NJ,07932-1524,Bad State
MENDHAM,NJ,07945-3058,Bad State
MORRIS PLAINS,NJ,07950-2038,Bad State
MORRISTOWN,NJ,07960-2611,Bad State
EDGEWATER PARK,NJ,08010-2105,Bad State
BURLINGTON,NJ,08016-4300,Bad State
VOORHEES,NJ,08043-3711,Bad State
MAYS LANDING,NJ,08330-1480,Bad State
JACKSON,NJ,08527-1448,Bad State
PLAINSBORO,NJ,08536-1951,Bad State
PRINCETON,NJ,08540-6126,Bad State
PRINCETON,NJ,08540-7611,Bad State
PRINCETON,NJ,08540-7733,Bad State
PRINCETON,NJ,08540-9005,Bad State
PRINCETON JUNCTION,NJ,08550-3516,Bad State
TRENTON,NJ,08618-5655,Bad State
BRIDGEWATER,NJ,08807-3189,Bad State
BRIDGEWATER,NJ,08807-3555,Bad State
DAYTON,NJ,08810-1542,Bad State
EAST BRUNSWICK,NJ,08816-2824,Bad State
EDISON,NJ,08820-1963,Bad State
EDISON,NJ,08820-3220,Bad State
FLEMINGTON,NJ,08822-3004,Bad State
ISELIN,NJ,08830-1827,Bad State
MONROE TWP,NJ,08831-3281,Bad State
LEBANON,NJ,08833-4315,Bad State
HILLSBOROUGH,NJ,08844-2317,Bad State
MONMOUTH JUNCTION,NJ,08852-2323,Bad State
N BRUNSWICK,NJ,08902-5514,Bad State
APO,AE,09630-1016,Bad State
NEW YORK,NY,10001-3967,Bad State
NEW YORK,NY,10007-2154,Bad State
NEW YORK,NY,10019-4262,Bad State
NEW YORK,NY,10019-6360,Bad State
NEW YORK,NY,10022-5285,Bad State
NEW YORK,NY,10023-4805,Bad State
NEW YORK,NY,10028-9645,Bad State
NEW YORK,NY,10032-4231,Bad State
STATEN ISLAND,NY,10308-3100,Bad State
BRONX,NY,10462-6926,Bad State
BRONX,NY,10463-4969,Bad State
BRONX,NY,10469-1417,Bad State
BRONX,NY,10469-1938,Bad State
ARMONK,NY,10504-1515,Bad State
RYE,NY,10580-1334,Bad State
SCARSDALE,NY,10583-2409,Bad State
YONKERS,NY,10701-5974,Bad State
GREENWOOD LAKE,NY,10925-4232,Bad State
MONROE,NY,10950-2324,Bad State
MONROE,NY,10950-5243,Bad State
SPRING VALLEY,NY,10977-1309,Bad State
WARWICK,NY,10990-1228,Bad State
WARWICK,NY,10990-2332,Bad State
FLORAL PARK,NY,11001-3513,Bad State
GREAT NECK,NY,11020-1821,Bad State
GREAT NECK,NY,11021-2728,Bad State
NEW HYDE PARK,NY,11040-3920,Bad State
GARDEN CITY PARK,NY,11040-4710,Bad State
PORT WASHINGTON,NY,11050-2559,Bad State
LONG ISLAND CITY,NY,11101-4945,Bad State
LONG ISLAND CITY,NY,11101-5861,Bad State
BROOKLYN,NY,11201-1813,Bad State
BROOKLYN,NY,11201-4212,Bad State
BROOKLYN,NY,11204-2507,Bad State
BROOKLYN,NY,11209-1906,Bad State
BROOKLYN,NY,11209-7703,Bad State
BROOKLYN,NY,11211-1700,Bad State
BROOKLYN,NY,11214-6008,Bad State
BROOKLYN,NY,11215-3619,Bad State
BROOKLYN,NY,11216-1709,Bad State
BROOKLYN,NY,11221-2208,Bad State
BROOKLYN,NY,11222-7275,Bad State
BROOKLYN,NY,11223-4902,Bad State
BROOKLYN,NY,11224-4027,Bad State
BROOKLYN,NY,11228-2302,Bad State
BROOKLYN,NY,11234-3902,Bad State
BROOKLYN,NY,11235-1452,Bad State
FLUSHING,NY,11358-2309,Bad State
FLUSHING,NY,11358-3917,Bad State
FRESH MEADOWS,NY,11366-1328,Bad State
JACKSON HEIGHTS,NY,11372-5463,Bad State
FOREST HILLS,NY,11375-5839,Bad State
JAMAICA,NY,11432,Bad State
GARDEN CITY,NY,11530-1131,Bad State
GLEN HEAD,NY,11545-2910,Bad State
HEMPSTEAD,NY,11551-0233,Bad State
WEST HEMPSTEAD,NY,11552-1702,Bad State
ROOSEVELT,NY,11575-1428,Bad State
ROSLYN,NY,11576-2721,Bad State
ROSLYN HEIGHTS,NY,11577-1213,Bad State
WESTBURY,NY,11590-6639,Bad State
SOUTH SETAUKET,NY,11720-4611,Bad State
HOLTSVILLE,NY,11742-2515,Bad State
DIX HILLS,NY,11746-4802,Bad State
DIX HILLS,NY,11746-4804,Bad State
DIX HILLS,NY,11746-8108,Bad State
JERICHO,NY,11753,Bad State
KINGS PARK,NY,11754-3017,Bad State
LINDENHURST,NY,11757-4255,Bad State
MASSAPEQUA PARK,NY,11762-1822,Bad State
NESCONSET,NY,11767-2036,Bad State
NORTHPORT,NY,11768-1120,Bad State
OLD BETHPAGE,NY,11804-1450,Bad State
MANORVILLE,NY,11949-2550,Bad State
WYNANTSKILL,NY,12198-2752,Bad State
ALBANY,NY,12207-2217,Bad State
TILLSON,NY,12486-1020,Bad State
HOPEWELL JUNCTION,NY,12533-6506,Bad State
MILLBROOK,NY,12545-5977,Bad State
POUGHKEEPSIE,NY,12603-5438,Bad State
BALDWINSVILLE,NY,13027-8228,Bad State
MARCELLUS,NY,13108-8705,Bad State
LITTLE FALLS,NY,13365-6428,Bad State
LAKE VIEW,NY,14085-9511,Bad State
CANANDAIGUA,NY,14424-2395,Bad State
CANANDAIGUA,NY,14424-2731,Bad State
ROCHESTER,NY,14620-4520,Bad State
ROCHESTER,NY,14625-2115,Bad State
JAMESTOWN,NY,14701-4318,Bad State
PAINTED POST,NY,14870-9346,Bad State
GIBSONIA,PA,15044-9471,Bad State
NATRONA HEIGHTS,PA,15065-9724,Bad State
PITTSBURGH,PA,15241-1743,Bad State
SAINT MARYS,PA,15857-3623,Bad State
CRANBERRY TOWNSHIP,PA,16066-3523,Bad State
MEADVILLE,PA,16335-3766,Bad State
STATE COLLEGE,PA,16801-2569,Bad State
HOWARD,PA,16841-4024,Bad State
MORRISDALE,PA,16858-8831,Bad State
PALMYRA,PA,17078-2439,Bad State
HARRISBURG,PA,17111-7030,Bad State
LANCASTER,PA,17603-3180,Bad State
MONTOURSVILLE,PA,17754-9100,Bad State
LEWISBURG,PA,17837-1505,Bad State
BETHLEHEM,PA,18017-4775,Bad State
TOBYHANNA,PA,18466-3011,Bad State
TUNKHANNOCK,PA,18657-1203,Bad State
NEWTOWN,PA,18940-1752,Bad State
NEWTOWN,PA,18940-3204,Bad State
SOUTHAMPTON,PA,18966-2204,Bad State
SOUTHAMPTON,PA,18966-2214,Bad State
ABINGTON,PA,19001-4509,Bad State
LANGHORNE,PA,19047-5746,Bad State
WAYNE,PA,19087-1049,Bad State
PHILADELPHIA,PA,19103-4310,Bad State
PHILADELPHIA,PA,19107-1019,Bad State
PHILADELPHIA,PA,19118-2711,Bad State
PHILADELPHIA,PA,19130-1420,Bad State
PHILADELPHIA,PA,19137-1411,Bad State
PHILADELPHIA,PA,19147-1222,Bad State
DEVON,PA,19333,Bad State
DOWNINGTOWN,PA,19335-1299,Bad State
GLEN MILLS,PA,19342-8123,Bad State
WEST CHESTER,PA,19382-3517,Bad State
WEST CHESTER,PA,19382-8739,Bad State
CHESTER SPRINGS,PA,19425-3854,Bad State
COLLEGEVILLE,PA,19426-2825,Bad State
KULPSVILLE,PA,19443-0458,Bad State
ROYERSFORD,PA,19468-3803,Bad State
BARTO,PA,19504-9256,Bad State
CLAYMONT,DE,19703-3329,Bad State
MIDDLETOWN,DE,19709-7506,Bad State
WILMINGTON,DE,19803-3742,Bad State
WILMINGTON,DE,19808-1674,Bad State
WILMINGTON,DE,19808-2025,Bad State
WILMINGTON,DE,19809-3709,Bad State
DOVER,DE,19901-5872,Bad State
BRIDGEVILLE,DE,19933-3264,Bad State
WASHINGTON,DC,20018-1772,Bad State
WASHINGTON,DC,20037-1125,Bad State
ALDIE,VA,20105-3066,Bad State
MANASSAS,VA,20111-7077,Bad State
MANASSAS,VA,20112-3815,Bad State
MANASSAS,VA,20112-7857,Bad State
CENTREVILLE,VA,20120-6428,Bad State
CENTREVILLE,VA,20120-6438,Bad State
CENTREVILLE,VA,20120-6440,Bad State
ROUND HILL,VA,20141-2255,Bad State
ASHBURN,VA,20147-7369,Bad State
ASHBURN,VA,20148-1775,Bad State
BRAMBLETON,VA,20148-6433,Bad State
ASHBURN,VA,20148-6757,Bad State
BRAMBLETON,VA,20148-7222,Bad State
BRAMBLETON,VA,20148-7651,Bad State
GAINESVILLE,VA,20155-5848,Bad State
DULLES,VA,20166-2167,Bad State
HERNDON,VA,20171-6407,Bad State
LEESBURG,VA,20176-3863,Bad State
LEESBURG,VA,20176-4113,Bad State
LEESBURG,VA,20176-8226,Bad State
NOKESVILLE,VA,20181-3652,Bad State
RESTON,VA,20191-1697,Bad State
RESTON,VA,20191-2265,Bad State
RESTON,VA,20191-3230,Bad State
RESTON,VA,20191-5425,Bad State
WALDORF,MD,20603-4201,Bad State
LA PLATA,MD,20646-3573,Bad State
BOWIE,MD,20720-3381,Bad State
BOWIE,MD,20720-3470,Bad State
LAUREL,MD,20724-6116,Bad State
RIVERDALE,MD,20737-3003,Bad State
CAPITOL HEIGHTS,MD,20743-1742,Bad State
FORT WASHINGTON,MD,20744-5516,Bad State
TEMPLE HILLS,MD,20748-6923,Bad State
FULTON,MD,20759-2661,Bad State
UPPER MARLBORO,MD,20774-1223,Bad State
UPPER MARLBORO,MD,20774-2289,Bad State
UPPER MARLBORO,MD,20774-2464,Bad State
UPPER MARLBORO,MD,20774-2696,Bad State
UPPER MARLBORO,MD,20774-6091,Bad State
HARWOOD,MD,20776-0041,Bad State
HYATTSVILLE,MD,20781-1507,Bad State
HYATTSVILLE,MD,20785-1711,Bad State
BETHESDA,MD,20816-1560,Bad State
BETHESDA,MD,20817-1242,Bad State
ROCKVILLE,MD,20852-3106,Bad State
ROCKVILLE,MD,20853-1631,Bad State
POTOMAC,MD,20854-1239,Bad State
ROCKVILLE,MD,20855-2119,Bad State
GERMANTOWN,MD,20874-2828,Bad State
GERMANTOWN,MD,20876,Bad State
GAITHERSBURG,MD,20878,Bad State
NORTH POTOMAC,MD,20878-4257,Bad State
DARNESTOWN,MD,20878-6105,Bad State
SILVER SPRING,MD,20901-5013,Bad State
ELLICOTT CITY,MD,21042-1659,Bad State
ELLICOTT CITY,MD,21042-6012,Bad State
ELLICOTT CITY,MD,21042-6124,Bad State
ELLICOTT CITY,MD,21043-1931,Bad State
ELLICOTT CITY,MD,21043-4893,Bad State
ELLICOTT CITY,MD,21043-5449,Bad State
ELLICOTT CITY,MD,21043-5531,Bad State
ELLICOTT CITY,MD,21043-8014,Bad State
COLUMBIA,MD,21044-1637,Bad State
COLUMBIA,MD,21044-4205,Bad State
LUTHERVILLE,MD,21093-2827,Bad State
LUTHERVILLE TIMONIUM,MD,21093-7782,Bad State
PASADENA,MD,21122-5615,Bad State
SEVERN,MD,21144,Bad State
GRASONVILLE,MD,21638-9676,Bad State
TRAPPE,MD,21673-1621,Bad State
FREDERICK,MD,21702-1670,Bad State
FREDERICK,MD,21702-3530,Bad State
BRUNSWICK,MD,21716-9722,Bad State
GLENELG,MD,21737-9627,Bad State
BURKE,VA,22015-1504,Bad State
DUMFRIES,VA,22026-2748,Bad State
FAIRFAX,VA,22030-8276,Bad State
FAIRFAX,VA,22031-1479,Bad State
FAIRFAX,VA,22031-2751,Bad State
FAIRFAX,VA,22032-1417,Bad State
FAIRFAX,VA,22032-2608,Bad State
FALLS CHURCH,VA,22042-3937,Bad State
FALLS CHURCH,VA,22043-2316,Bad State
FALLS CHURCH,VA,22043-2329,Bad State
FALLS CHURCH,VA,22046-3842,Bad State
MC LEAN,VA,22101-3512,Bad State
MC LEAN,VA,22101-5107,Bad State
MC LEAN,VA,22102-1109,Bad State
OAKTON,VA,22124-1436,Bad State
VIENNA,VA,22180-5970,Bad State
VIENNA,VA,22181-2963,Bad State
VIENNA,VA,22182-1617,Bad State
WOODBRIDGE,VA,22191-2717,Bad State
WOODBRIDGE,VA,22192-5530,Bad State
WOODBRIDGE,VA,22193-1632,Bad State
ARLINGTON,VA,22201-2937,Bad State
ARLINGTON,VA,22201-5711,Bad State
ARLINGTON,VA,22201-6633,Bad State
ARLINGTON,VA,22207-2205,Bad State
ALEXANDRIA,VA,22302-2107,Bad State
ALEXANDRIA,VA,22304-7303,Bad State
ALEXANDRIA,VA,22310-1746,Bad State
ALEXANDRIA,VA,22314-2421,Bad State
ALEXANDRIA,VA,22315-3489,Bad State
FREDERICKSBURG,VA,22405-2124,Bad State
FREDERICKSBURG,VA,22408-8094,Bad State
IRVINGTON,VA,22480-0087,Bad State
STAFFORD,VA,22554-8423,Bad State
BRANDY STATION,VA,22714-1878,Bad State
GLEN ALLEN,VA,23060-5970,Bad State
GLEN ALLEN,VA,23060-6522,Bad State
GLEN ALLEN,VA,23060-9233,Bad State
MOSELEY,VA,23120-1800,Bad State
PROVIDENCE FORGE,VA,23140-3476,Bad State
RICHMOND,VA,23233-6806,Bad State
NORTH CHESTERFIELD,VA,23234-4770,Bad State
SUFFOLK,VA,23434-6765,Bad State
VIRGINIA BEACH,VA,23451-3991,Bad State
VIRGINIA BEACH,VA,23453-4731,Bad State
VIRGINIA BEACH,VA,23453-5557,Bad State
VIRGINIA BEACH,VA,23453-6637,Bad State
VIRGINIA BEACH,VA,23454-1003,Bad State
VIRGINIA BEACH,VA,23456-7309,Bad State
VIRGINIA BEACH,VA,23464-8413,Bad State
NORFOLK,VA,23505-2003,Bad State
NEWPORT NEWS,VA,23606-2146,Bad State
YORKTOWN,VA,23693-2561,Bad State
PORTSMOUTH,VA,23704-2465,Bad State
CHESTER,VA,23836-5756,Bad State
EBONY,VA,23845-2061,Bad State
ROANOKE,VA,24018-2042,Bad State
BLACKSBURG,VA,24060-0392,Bad State
BLUE RIDGE,VA,24064-1352,Bad State
RADFORD,VA,24141-3356,Bad State
GALAX,VA,24333-6334,Bad State
STAUNTON,VA,24401-3768,Bad State
HALIFAX,VA,24558-2132,Bad State
MONROE,VA,24574-2604,Bad State
PARKERSBURG,WV,26104-7070,Bad State
COLUMBIA,SC,29229-7347,Bad State
